,z_address,sales_price,sales_date,Lot_size,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,age,build_gen,zestimate,zindexvalue,zipcode,full_bath,other_bath,is_studio
0,1160 Mission St UNIT 2007,1300000,02/17/2016,43557,2.0,2.0,1043.0,02/17/2016,1300000.0,37.778705,-122.41263500000001,South of Market,4.0,Condominium,9.0,14.0,1167508.0,975700,94103.0,2.0,0.0,0
1,260 King St UNIT 475,750000,02/17/2016,213232,1.0,1.0,908.0,02/17/2016,750000.0,37.777640999999996,-122.393417,South of Market,3.0,Condominium,12.0,14.0,823719.0,975700,94107.0,1.0,0.0,0
2,560 Missouri St # B,1495000,02/17/2016,2496,4.0,3.0,1425.0,02/17/2016,1495000.0,37.759198,-122.39651599999999,Potrero Hill,6.0,Condominium,13.0,14.0,1708594.0,1277600,94107.0,4.0,0.0,0
3,350 Missouri St,2700000,02/17/2016,2469,3.0,3.0,2231.0,02/17/2016,2700000.0,37.761886,-122.39676899999999,Potrero Hill,10.0,SingleFamily,89.0,6.0,2411236.0,1277600,94107.0,3.0,0.0,0
4,3658 Folsom St,1530000,02/17/2016,1750,3.0,3.0,1300.0,02/17/2016,1530000.0,37.740795,-122.413453,Bernal Heights,4.0,SingleFamily,116.0,4.0,1918539.0,1248000,94110.0,3.0,0.0,0
5,156 Lowell St,460000,02/17/2016,3000,1.0,2.0,1250.0,02/17/2016,460000.0,37.710226,-122.446027,Crocker Amazon,5.0,SingleFamily,92.0,6.0,703392.0,823000,94112.0,1.0,0.0,0
6,735 Lakeview Ave,532000,02/17/2016,2495,1.0,3.0,1032.0,02/17/2016,532000.0,37.718024,-122.46033200000001,Oceanview,6.0,SingleFamily,77.0,7.0,741715.0,762700,94112.0,1.0,0.0,0
7,430 Capistrano Ave,1050000,02/17/2016,3136,1.0,2.0,1200.0,02/17/2016,1050000.0,37.725204,-122.439273,Mission Terrace,5.0,SingleFamily,92.0,6.0,1023650.0,992600,94112.0,1.0,0.0,0
8,4135 23rd St,3500000,02/17/2016,2944,3.5,4.0,2700.0,02/17/2016,3500000.0,37.752602,-122.43501100000002,Noe Valley,9.0,SingleFamily,104.0,5.0,3604950.0,1782000,94114.0,3.0,0.5,0
9,440 Steiner St,1500000,02/17/2016,2885,2.0,3.0,2016.0,02/17/2016,1500000.0,37.773237,-122.432302,Hayes Valley,7.0,Condominium,126.0,3.0,1547314.0,1224800,94117.0,2.0,0.0,0
10,414 Somerset St,848000,02/17/2016,2273,1.0,3.0,1798.0,02/17/2016,848000.0,37.726252,-122.40764899999999,Portola,8.0,SingleFamily,63.0,9.0,933506.0,888400,94134.0,1.0,0.0,0
11,300 Berry St UNIT 813,1000000,02/17/2016,41861,1.0,1.0,761.0,02/17/2016,1000000.0,37.773928999999995,-122.39623999999999,South of Market,4.0,Condominium,8.0,14.0,931039.0,975700,94158.0,1.0,0.0,0
12,370 Church St APT F,888000,02/16/2016,18656,1.0,1.0,780.0,08/12/2015,863000.0,37.765062,-122.429077,Eureka Valley - Dolores Heights - Castro,4.0,Condominium,34.0,12.0,847894.0,1744100,94114.0,1.0,0.0,0
13,10 22nd Ave,4888000,02/16/2016,13812,5.0,5.0,5786.0,02/16/2016,4888000.0,37.787088,-122.48174099999999,Lake,12.0,SingleFamily,90.0,6.0,7159444.0,2244500,94121.0,5.0,0.0,0
14,1847 10th Ave,1000000,02/16/2016,3000,2.0,2.0,1688.0,02/16/2016,1000000.0,37.753756,-122.466995,Inner Sunset,6.0,SingleFamily,89.0,6.0,1106369.0,1357900,94122.0,2.0,0.0,0
15,442 Mangels Ave,210000,02/16/2016,2495,3.0,4.0,1619.0,02/16/2016,210000.0,37.733307,-122.44760500000001,Sunnyside,7.0,SingleFamily,50.0,10.0,1483668.0,1038200,94127.0,3.0,0.0,0
16,650 Turk St UNIT 706,525000,02/12/2016,15582,1.0,0.0,398.0,02/12/2016,525000.0,37.782379,-122.420166,Van Ness - Civic Center,4.0,Condominium,8.0,14.0,565702.0,855500,94102.0,1.0,0.0,1
17,66 Rondel Pl,2300000,02/12/2016,1503,4.5,4.0,2615.0,02/12/2016,2300000.0,37.763849,-122.421259,Mission,9.0,SingleFamily,110.0,4.0,1613306.0,1185400,94103.0,4.0,0.5,0
18,1610 Sacramento St APT 5,1450000,02/12/2016,4788,2.0,2.0,1252.0,02/12/2016,1450000.0,37.791903999999995,-122.41980600000001,Nob Hill,4.0,Condominium,14.0,14.0,1386684.0,1459200,94109.0,2.0,0.0,0
19,1536 Pacific Ave # 1,2500000,02/12/2016,5300,2.0,3.0,1444.0,02/12/2016,2500000.0,37.795383,-122.42062299999999,Nob Hill,6.0,Condominium,7.0,14.0,2125825.0,1459200,94109.0,2.0,0.0,0
20,541 Prentiss St,171000,02/12/2016,1751,2.0,3.0,1200.0,02/12/2016,171000.0,37.73639,-122.412103,Bernal Heights,5.0,SingleFamily,63.0,9.0,1261487.0,1248000,94110.0,2.0,0.0,0
21,31 Hartford St,871500,02/12/2016,3271,1.0,2.0,1265.0,02/12/2016,871500.0,37.76207,-122.43368999999998,Eureka Valley - Dolores Heights - Castro,5.0,Condominium,114.0,4.0,1262136.0,1744100,94114.0,1.0,0.0,0
22,1600 Webster St APT 106,900000,02/12/2016,18978,1.0,1.0,859.0,02/12/2016,900000.0,37.78568,-122.43095500000001,Lower Pacific Heights,4.0,Condominium,11.0,14.0,820965.0,1178700,94115.0,1.0,0.0,0
23,233 18th Ave,1020000,02/12/2016,2989,1.0,2.0,1308.0,02/12/2016,1020000.0,37.783586,-122.47779399999999,Central Richmond,5.0,Condominium,102.0,5.0,1077432.0,1485300,94121.0,1.0,0.0,0
24,248 17th Ave,1410500,02/12/2016,3000,1.5,2.0,1429.0,02/12/2016,1410500.0,37.783401,-122.476049,Central Richmond,6.0,Condominium,94.0,6.0,1170744.0,1485300,94121.0,1.0,0.5,0
25,1374 45th Ave,951000,02/12/2016,4077,1.0,3.0,1771.0,02/12/2016,951000.0,37.761002000000005,-122.50456499999999,Outer Sunset,8.0,SingleFamily,111.0,4.0,956441.0,1031800,94122.0,1.0,0.0,0
26,1087 Palou Ave,430000,02/12/2016,1873,2.0,3.0,1452.0,02/12/2016,430000.0,37.728353999999996,-122.381454,Bayview,8.0,SingleFamily,116.0,4.0,536665.0,731900,94124.0,2.0,0.0,0
27,1486 Underwood Ave,680000,02/12/2016,2500,2.0,3.0,1115.0,02/12/2016,680000.0,37.728777,-122.389531,Bayview,6.0,SingleFamily,85.0,7.0,631581.0,731900,94124.0,2.0,0.0,0
28,350 Lansdale Ave,1440000,02/12/2016,9861,3.0,3.0,2378.0,02/12/2016,1440000.0,37.735851000000004,-122.458653,Westwood Highlands,8.0,SingleFamily,76.0,8.0,1709182.0,1424100,94127.0,3.0,0.0,0
29,120 Ulloa St,1700000,02/12/2016,3101,2.5,2.0,2063.0,02/12/2016,1700000.0,37.744347999999995,-122.45530500000001,Forest Hill Extension,10.0,SingleFamily,79.0,7.0,1755644.0,1669300,94127.0,2.0,0.5,0
30,159 Middlefield Dr,234000,02/12/2016,3301,3.0,3.0,2200.0,02/12/2016,234000.0,37.731435999999995,-122.48648600000001,Lakeshore,6.0,SingleFamily,66.0,9.0,1455842.0,1264800,94132.0,3.0,0.0,0
31,8 Dunsmuir St,700000,02/12/2016,2548,1.0,2.0,1250.0,02/12/2016,700000.0,37.730809,-122.41451399999998,Portola,5.0,SingleFamily,80.0,7.0,964978.0,888400,94134.0,1.0,0.0,0
32,22 W View Ave,744000,02/12/2016,2495,1.0,2.0,970.0,02/12/2016,744000.0,37.730916,-122.418729,Portola,5.0,SingleFamily,73.0,8.0,736105.0,888400,94134.0,1.0,0.0,0
33,4160 17th St,1100000,02/11/2016,2628,2.0,2.0,911.0,02/11/2016,1100000.0,37.762498,-122.438686,Corona Heights,4.0,Condominium,112.0,4.0,938211.0,1475100,94114.0,2.0,0.0,0
34,1315 21st Ave,1325000,02/11/2016,2374,1.25,2.0,1621.0,02/11/2016,1325000.0,37.763108,-122.479527,Central Sunset,6.0,SingleFamily,105.0,5.0,1225848.0,1125700,94122.0,1.0,0.25,0
35,4229 26th St,2525000,02/11/2016,2736,3.0,3.0,2398.0,02/11/2016,2525000.0,37.747788,-122.43481200000001,Noe Valley,7.0,SingleFamily,116.0,4.0,2641338.0,1782000,94131.0,3.0,0.0,0
36,361 Texas St,2300000,02/10/2016,2495,2.0,3.0,2080.0,02/10/2016,2300000.0,37.761845,-122.39517099999999,Potrero Hill,7.0,SingleFamily,110.0,4.0,2058271.0,1277600,94107.0,2.0,0.0,0
37,667 Shotwell St # A,775000,02/10/2016,0,1.0,1.0,1212.0,02/10/2016,775000.0,37.757851,-122.41562900000001,Mission,4.0,Condominium,126.0,3.0,1197178.0,1185400,94110.0,1.0,0.0,0
38,2919 Pacific Ave APT 6,1457000,02/10/2016,6851,2.0,2.0,1125.0,02/10/2016,1457000.0,37.79197,-122.44344,Pacific Heights,4.0,Condominium,111.0,4.0,1488108.0,1910700,94115.0,2.0,0.0,0
39,2455 14th Ave,1525000,02/10/2016,4046,3.75,4.0,1846.0,02/10/2016,1525000.0,37.742271,-122.470518,West Portal,5.0,SingleFamily,84.0,7.0,1195679.0,1565000,94116.0,3.0,0.75,0
