,sales_price,sales_date,Lot_size,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,zestimate,zindexvalue,full_bath,other_bath,is_studio,other_rooms,median_price,bg_1.0,bg_2.0,bg_3.0,bg_4.0,bg_5.0,bg_6.0,bg_7.0,bg_8.0,bg_9.0,bg_10.0,bg_11.0,bg_12.0,bg_13.0,bg_14.0,bg_15.0,ob_0.25,ob_0.5,ob_0.75
0,1300000,02/17/2016,43557,2.0,1043.0,02/17/2016,1300000.0,37.778705,-122.412635,1167508.0,975700,2.0,0.0,0,2.0,820000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,750000,02/17/2016,213232,1.0,908.0,02/17/2016,750000.0,37.777641,-122.393417,823719.0,975700,1.0,0.0,0,2.0,820000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,1495000,02/17/2016,2496,3.0,1425.0,02/17/2016,1495000.0,37.759198,-122.396516,1708594.0,1277600,4.0,0.0,0,3.0,845250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,2700000,02/17/2016,2469,3.0,2231.0,02/17/2016,2700000.0,37.761886,-122.396769,2411236.0,1277600,3.0,0.0,0,7.0,1435000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1530000,02/17/2016,1750,3.0,1300.0,02/17/2016,1530000.0,37.740795,-122.413453,1918539.0,1248000,3.0,0.0,0,1.0,1107500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,460000,02/17/2016,3000,2.0,1250.0,02/17/2016,460000.0,37.710226,-122.446027,703392.0,823000,1.0,0.0,0,3.0,725000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,532000,02/17/2016,2495,3.0,1032.0,02/17/2016,532000.0,37.718024,-122.460332,741715.0,762700,1.0,0.0,0,3.0,630000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1050000,02/17/2016,3136,2.0,1200.0,02/17/2016,1050000.0,37.725204,-122.439273,1023650.0,992600,1.0,0.0,0,3.0,820000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3500000,02/17/2016,2944,4.0,2700.0,02/17/2016,3500000.0,37.752602,-122.43501100000002,3604950.0,1782000,3.0,0.5,0,5.0,1900000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,1500000,02/17/2016,2885,3.0,2016.0,02/17/2016,1500000.0,37.773237,-122.432302,1547314.0,1224800,2.0,0.0,0,4.0,999000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,848000,02/17/2016,2273,3.0,1798.0,02/17/2016,848000.0,37.726252,-122.407649,933506.0,888400,1.0,0.0,0,5.0,725000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1000000,02/17/2016,41861,1.0,761.0,02/17/2016,1000000.0,37.773929,-122.39624,931039.0,975700,1.0,0.0,0,3.0,820000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
